name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
seattle,2022-06-27,32.7,17.6,24.8,31.7,17.6,24.5,12,46.6,0,0,0,rain,0,0,29.5,17.7,234.9,1013.6,11.7,16,287.4,24.8,9,10,2022-06-27T05:13:43,2022-06-27T21:11:07,0.99,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-28,18.2,14,15.8,18.2,14,15.8,11,73.9,0.045,100,4.17,rain,0,0,40.7,25.5,205.7,1018.4,70.2,15.6,149,12.9,9,10,2022-06-28T05:14:12,2022-06-28T21:11:01,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-29,19.1,13.3,15.9,19.1,13.3,15.9,10.8,72.5,0,0,0,rain,0,0,33.5,13.3,198.8,1021.3,89.8,15.7,197,17.1,10,10,2022-06-29T05:14:43,2022-06-29T21:10:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-06-30,23.2,12.7,18.1,23.2,12.7,18.1,11,65.5,0,0,0,,0,0,21.2,22.8,324.9,1020,20.4,16,319.2,27.5,10,10,2022-06-30T05:15:16,2022-06-30T21:10:41,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,F7103,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-01,24.3,14.4,19.1,24.3,14.4,19.1,12.1,64.7,0,0,0,,0,0,25.9,13.8,308.8,1018,9.7,16,322.6,28.1,9,10,2022-07-01T05:15:51,2022-07-01T21:10:28,0.03,Clear,Clear conditions throughout the day.,clear-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-02,19.2,13.4,16.2,19.2,13.4,16.2,12.1,77.3,0,0,0,rain,0,0,19.1,13,282.7,1014.7,76.5,16,232.7,20,10,10,2022-07-02T05:16:29,2022-07-02T21:10:12,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-03,15.7,13,13.8,15.7,13,13.8,11.8,88,1.463,100,33.33,rain,0,0,24.1,13.9,163.3,1014,97.5,13.8,37.4,3.4,1,10,2022-07-03T05:17:08,2022-07-03T21:09:53,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-04,20.5,11.2,15.6,20.5,11.2,15.6,10.6,73.8,0,0,0,,0,0,22.7,11.3,215.8,1015,67.9,15.7,235.3,20.5,10,10,2022-07-04T05:17:49,2022-07-04T21:09:31,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-05,23.2,12.6,17.4,23.2,12.6,17.4,12,72.6,0.363,100,4.17,rain,0,0,19.1,12.3,328.9,1013.9,59.2,14.4,244.9,21.2,9,10,2022-07-05T05:18:33,2022-07-05T21:09:07,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-06,22.3,16.3,18.8,22.3,16.3,18.8,14.7,78,0.793,100,16.67,rain,0,0,13.3,13.9,205.7,1013.8,92.2,15.8,207.8,18.1,8,10,2022-07-06T05:19:18,2022-07-06T21:08:41,0.22,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-07,24.8,15.9,19.5,24.8,15.9,19.5,13.1,68.7,0,0,0,rain,0,0,29.5,13,244.9,1016.7,63.7,16,253,22,10,10,2022-07-07T05:20:05,2022-07-07T21:08:11,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-08,24.5,16.2,19.8,24.5,16.2,19.8,12.4,63.6,0,0,0,rain,0,0,23.4,12.9,280.3,1019.5,70,16,272.3,23.5,10,10,2022-07-08T05:20:54,2022-07-08T21:07:40,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
seattle,2022-07-09,24.1,15,19.3,24.1,15,19.3,11.5,61.7,0,0,0,,0,0,22.7,12.2,323.5,1021.6,48.7,16,253.5,22,10,10,2022-07-09T05:21:45,2022-07-09T21:07:05,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72793024233,KSEA,KBFI,72793524234,72793494248,F0821,KRNT"
